,fips_code,agr,con,ext,neu,ope
0,0,-0.68137,-1.82017,-0.36967,0.87733,-0.00245
1,1001,-0.72685,-0.61908,0.04729,0.53763,-0.29099
2,1003,0.18771,0.39662,0.29649,0.0994,0.39573
3,1005,-0.24126,-0.21672,0.5065,-0.22808,-0.60496
4,1009,-0.02345,-0.10987,0.10189,0.96879,-0.28931
5,1013,-0.5105,-0.39438,0.46927,0.40193,-0.70735
6,1015,-0.46236,0.09255,0.47208,-0.27758,0.16136
7,1017,-0.31556,-0.16364,0.00861,0.17627,-0.57999
8,1019,0.28718,0.41106,0.14566,0.539,-0.18347
9,1021,0.04762,-0.50004,0.04097,0.61159,-0.1212
10,1025,-0.14918,-0.52331,-0.08236,0.25421,-0.86318
11,1027,-0.16165,0.01699,0.39439,0.12359,-0.37547
12,1031,-0.22961,-0.05848,0.29057,0.04966,-0.29102
13,1033,-0.12151,-0.12579,0.16929,0.20858,-0.46415
14,1039,-0.66808,-0.50258,0.11966,0.3358,-0.28629
15,1043,0.91393,0.81709,0.0857,0.03337,-0.07733
16,1045,-0.50265,-0.32909,-0.52315,0.54125,-0.25487
17,1047,-0.60011,-0.09436,0.32264,-0.09296,-0.54643
18,1049,0.33422,-0.2607,0.10087,0.59104,0.31085
19,1051,-0.37889,-0.50021,0.06038,0.43872,-0.33994
20,1053,-0.76198,-0.22606,-0.22249,0.35491,-0.70057
21,1055,-0.98271,-0.77225,0.88289,0.02703,-0.0727
22,1059,-0.12928,-0.23953,0.04171,0.63479,-0.54758
23,1065,0.05509,0.07369,0.56326,-0.1313,-1.09995
24,1067,-0.48262,-0.25226,0.33781,-0.00659,-0.83333
25,1069,-0.08132,0.2347,0.07456,-0.3031,0.07602
26,1071,0.03409,-0.14502,-0.15552,0.68826,0.14991
27,1073,0.08589,1.01762,-0.03156,-0.72313,0.87849
28,1075,0.06959,0.1429,0.64365,0.15738,-0.73119
29,1077,0.50381,0.31635,-0.05834,0.07655,0.41998
30,1079,-0.13976,-0.25044,0.23597,0.27278,-0.77068
31,1081,0.16877,0.42167,-0.02911,-0.48719,0.57158
32,1083,0.1983,0.13347,0.23241,0.2465,-0.02862
33,1087,-0.22704,-0.00735,0.41179,0.19807,-0.25657
34,1089,-0.06935,0.66278,-0.0758,-0.68566,0.79659
35,1091,-0.41302,0.05942,0.09251,0.04345,-1.02562
36,1093,0.70345,-0.03603,-0.19259,0.57979,0.06127
37,1095,-0.30458,-0.76924,-0.63642,1.31168,-0.10064
38,1097,-0.4606,0.06411,0.23864,-0.22517,0.39424
39,1099,-0.11885,0.06113,0.22797,-0.16242,-0.7731
40,1101,-0.59083,0.58132,0.22706,-0.67681,0.23249
41,1103,0.20353,-0.08252,0.30043,0.15989,0.03355
42,1107,-0.64173,-0.56852,0.74593,0.20205,-0.20763
43,1109,0.01105,0.21686,0.33828,-0.67146,-0.07427
44,1111,-0.25299,-0.32261,0.21269,0.32347,-0.70073
45,1113,-0.56702,-0.32598,0.4173,0.45924,-0.45891
46,1115,-0.07925,0.11121,-0.35603,0.35807,0.01354
47,1117,0.31416,0.28571,-0.35775,-0.03985,0.34824
48,1119,-0.07247,0.27784,0.14777,-0.07855,-0.90887
49,1121,-0.37595,0.12554,0.12908,-0.24446,-0.33986
50,1123,-0.07882,0.03229,0.37993,-0.03202,-0.97229
51,1125,-0.08125,0.4909,0.23655,-0.442,0.34325
52,1127,-0.12206,-0.25757,-0.05173,0.62195,-0.06533
53,1129,-0.20686,-0.0184,0.07149,0.49476,-1.24835
54,1133,0.45217,0.10188,0.07353,0.3355,-0.37607
55,2020,-0.07187,0.50272,-0.75724,-0.36715,1.58586
56,2090,-0.28287,-0.59824,-0.5237,0.62141,1.36446
